Real[3.05212482389888795087e-01 with 64 bits of precision,4.83409082033849288318e-02 with 64 bits of precision,9.51056516295153531182e-01 with 64 bits of precision,8.00000000000000065442e-05 with 64 bits of precision,1.18549002925281355871e+08 with 64 bits of precision]
Real[3.05212482389888795087e-01 with 64 bits of precision,4.83409082033849288318e-02 with 64 bits of precision,9.51056516295153531182e-01 with 64 bits of precision,7.00000000000000074203e-05 with 64 bits of precision,1.18549002925303853881e+08 with 64 bits of precision]
Real[3.05212482389888795087e-01 with 64 bits of precision,4.83409082033849288318e-02 with 64 bits of precision,9.51056516295153531182e-01 with 64 bits of precision,6.00000000000000015201e-05 with 64 bits of precision,1.90773938902340281478e+08 with 64 bits of precision]
Real[3.05212482389888795087e-01 with 64 bits of precision,4.83409082033849288318e-02 with 64 bits of precision,9.51056516295153531182e-01 with 64 bits of precision,5.00000000000000023961e-05 with 64 bits of precision,1.90773938902351273151e+08 with 64 bits of precision]
Real[3.05212482389888795087e-01 with 64 bits of precision,4.83409082033849288318e-02 with 64 bits of precision,9.51056516295153531182e-01 with 64 bits of precision,4.00000000000000032721e-05 with 64 bits of precision,1.90773938902363049463e+08 with 64 bits of precision]
Real[3.05212482389888795087e-01 with 64 bits of precision,4.83409082033849288318e-02 with 64 bits of precision,9.51056516295153531182e-01 with 64 bits of precision,3.00000000000000109244e-05 with 64 bits of precision,1.90773938902375900201e+08 with 64 bits of precision]
Real[3.05212482389888795087e-01 with 64 bits of precision,4.83409082033849288318e-02 with 64 bits of precision,9.51056516295153531182e-01 with 64 bits of precision,1.99999999999999982479e-05 with 64 bits of precision,4.15507738984640539362e+08 with 64 bits of precision]
Real[3.05212482389888795087e-01 with 64 bits of precision,4.83409082033849288318e-02 with 64 bits of precision,9.51056516295153531182e-01 with 64 bits of precision,9.99999999999999912396e-06 with 64 bits of precision,1.66825867500814583199e+09 with 64 bits of precision]
Real[4.48401123333710238672e-01 with 64 bits of precision,7.10197609601030677151e-02 with 64 bits of precision,8.91006524188367898809e-01 with 64 bits of precision,1.00000000000000005551e-01 with 64 bits of precision,2.09508813218947687797e+01 with 64 bits of precision]
Real[4.48401123333710238672e-01 with 64 bits of precision,7.10197609601030677151e-02 with 64 bits of precision,8.91006524188367898809e-01 with 64 bits of precision,9.00000000000000105471e-02 with 64 bits of precision,2.0962225337711934664e+01 with 64 bits of precision]
